;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-09-08 10:00:00;9.220749115250806;153144.82555229883;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;52209.96667982765
2023-09-08 11:00:00;4.950022003449907;156255.86288688803;0.0;0.0;0.0;0.0;0.0;0.0;50449.11773219834;62705.544615442144
2023-09-08 12:00:00;15.372658012335807;169636.69546319166;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;63985.14577202986
2023-09-08 13:00:00;12.38447035533471;164287.56428629407;0.0;0.0;0.0;0.0;0.0;0.0;50466.7058773278;62139.86357799643
2023-09-08 14:00:00;11.072483589158896;164284.73912133183;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;44154.10566284934
2023-09-08 15:00:00;11.472776326288088;161174.6435083967;0.0;0.0;0.0;0.0;0.0;0.0;50462.30884104544;25237.907742323885
2023-09-08 16:00:00;11.992557324104189;165841.67037110755;0.0;0.0;0.0;0.0;0.0;0.0;50457.91180476307;7175.037633016389
2023-09-08 17:00:00;12.566336403224428;172065.6284835941;0.0;0.0;0.0;0.0;0.0;0.0;50457.91180476307;0.0
2023-09-08 18:00:00;11.15713839239706;172066.5702052482;0.0;0.0;0.0;0.0;0.0;0.0;4990.636180482987;0.0
2023-09-08 19:00:00;8.233035041906918;167148.73130539356;0.0;0.0;0.0;0.0;0.0;0.0;4981.842107918259;0.0
2023-09-08 20:00:00;7.18787679427321;167138.37236719875;0.0;0.0;0.0;0.0;0.0;0.0;4933.474708812257;0.0
2023-09-08 21:00:00;8.206285717422713;167119.53793411725;0.0;0.0;0.0;0.0;0.0;0.0;4845.53398316498;0.0
2023-09-08 22:00:00;0.0;103679.80024559716;0.0;0.0;0.0;0.0;0.0;0.0;4273.919266457677;0.0
2023-09-08 23:00:00;0.0;103679.80024559716;0.0;0.0;0.0;0.0;0.0;0.0;2189.7240686172045;0.0
2023-09-09 00:00:00;0.9224935633408406;81936.80272737806;0.0;0.0;0.0;0.0;0.0;0.0;2198.518141181932;0.0
2023-09-09 01:00:00;0.0;81936.80272737806;0.0;0.0;0.0;0.0;0.0;0.0;2207.3122137466607;0.0
2023-09-09 02:00:00;0.0;81936.80272737806;0.0;0.0;0.0;0.0;0.0;0.0;2216.1062863113875;0.0
2023-09-09 03:00:00;0.9275832649901186;81936.80272737806;0.0;0.0;0.0;0.0;0.0;0.0;4207.963722222218;0.0
2023-09-09 04:00:00;0.0;81936.80272737806;0.0;0.0;0.0;0.0;0.0;0.0;4326.683701846043;0.0
2023-09-09 05:00:00;0.9366984482230633;88473.66556407601;0.0;0.0;0.0;0.0;0.0;0.0;4581.7118062231475;0.0
2023-09-09 06:00:00;5.871481287607494;123488.65481037376;0.0;0.0;0.0;0.0;0.0;0.0;50317.206643727426;0.0
2023-09-09 07:00:00;14.04562786190117;139914.2942643085;0.0;0.0;0.0;0.0;0.0;0.0;50396.353296809975;3958.406969279367
2023-09-09 08:00:00;1.5927679363240301;138736.98587751162;0.0;0.0;0.0;0.0;0.0;0.0;50422.73551450416;11892.145042671524
2023-09-09 09:00:00;13.825679510327875;138102.9563243398;0.0;0.0;0.0;0.0;0.0;0.0;50444.72069591598;16376.48689833104
2023-09-09 10:00:00;1.5958681722746868;137785.47068692686;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;40339.030039696045
2023-09-09 11:00:00;16.238892005785637;151483.7889006434;0.0;0.0;0.0;0.0;0.0;0.0;50449.11773219834;45667.24818210153
2023-09-09 12:00:00;14.406791963270654;146132.77428043765;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;47786.24374896628
2023-09-09 13:00:00;11.196521464200746;146135.5994453999;0.0;0.0;0.0;0.0;0.0;0.0;50466.7058773278;42071.97788737349
2023-09-09 14:00:00;11.370331255778312;146132.77428043765;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;32652.33317707675
2023-09-09 15:00:00;11.673662732704681;145815.28864302472;0.0;0.0;0.0;0.0;0.0;0.0;50462.30884104544;20578.31546918478
2023-09-09 16:00:00;14.544432695618617;146293.4005424523;0.0;0.0;0.0;0.0;0.0;0.0;50457.91180476307;7911.741235776053
2023-09-09 17:00:00;15.82721412304262;146932.13870389448;0.0;0.0;0.0;0.0;0.0;0.0;50457.91180476307;0.0
2023-09-09 18:00:00;7.126584054707379;138905.14591275883;0.0;0.0;0.0;0.0;0.0;0.0;4990.636180482987;0.0
2023-09-09 19:00:00;8.233035041906918;139222.63155017176;0.0;0.0;0.0;0.0;0.0;0.0;4981.842107918259;0.0
2023-09-09 20:00:00;7.18787679427321;139212.27261197695;0.0;0.0;0.0;0.0;0.0;0.0;4933.474708812257;0.0
2023-09-09 21:00:00;1.0231684577953757;124606.44659289758;0.0;0.0;0.0;0.0;0.0;0.0;4845.53398316498;0.0
2023-09-09 22:00:00;0.0;82735.22542918079;0.0;0.0;0.0;0.0;0.0;0.0;4273.919266457677;0.0
2023-09-09 23:00:00;0.0;82735.22542918079;0.0;0.0;0.0;0.0;0.0;0.0;2189.7240686172045;0.0
2023-09-10 00:00:00;0.9224935633408406;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;2198.518141181932;0.0
2023-09-10 01:00:00;0.0;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;2207.3122137466607;0.0
2023-09-10 02:00:00;0.0;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;2216.1062863113875;0.0
2023-09-10 03:00:00;0.9275832649901186;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;4207.963722222218;0.0
2023-09-10 04:00:00;0.0;116407.00663704549;0.0;0.0;0.0;0.0;0.0;0.0;4326.683701846043;0.0
2023-09-10 05:00:00;0.9366984482230633;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;4581.7118062231475;0.0
2023-09-10 06:00:00;8.515406726673787;159792.58449216213;0.0;0.0;0.0;0.0;0.0;0.0;50317.206643727426;0.0
2023-09-10 07:00:00;16.47175870362392;196521.63213476783;0.0;0.0;0.0;0.0;0.0;0.0;50396.353296809975;0.0
2023-09-10 08:00:00;11.881569433386026;194239.2899741784;0.0;0.0;0.0;0.0;0.0;0.0;50422.73551450416;9472.94644502403
2023-09-10 09:00:00;1.5949823905744989;174406.88600612816;0.0;0.0;0.0;0.0;0.0;0.0;50444.72069591598;18813.534180736657
2023-09-10 10:00:00;12.665010180726807;168504.18041767084;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;43092.18659747873
2023-09-10 11:00:00;13.508034551171846;187787.71858243176;0.0;0.0;0.0;0.0;0.0;0.0;50449.11773219834;56565.80436137548
2023-09-10 12:00:00;1.5958681722746868;174408.7694494363;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;60396.36204970325
2023-09-10 13:00:00;11.872083344434449;174411.59461439852;0.0;0.0;0.0;0.0;0.0;0.0;50466.7058773278;57773.59776120119
2023-09-10 14:00:00;1.5958681722746868;174408.7694494363;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;40864.83124458428
