;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-11-25 04:00:00;297.9330954636477;131951.2102691102;0.0;0.0;770679.496944455;0.0;980920.0651066;393908.206462543;4326.683701846043;0.0
2023-11-25 05:00:00;294.6169114603639;137993.5315541429;0.0;0.0;759609.0234726944;0.0;962463.0923338452;393908.206462543;4581.7118062231475;0.0
2023-11-25 06:00:00;295.5715874484366;171303.90227941173;0.0;0.0;752091.8558032024;0.0;949698.7629534107;393908.206462543;50317.206643727426;0.0
2023-11-25 07:00:00;300.88487978951923;185429.0937365737;0.0;0.0;740698.173260273;0.0;944659.1911949612;393908.206462543;50396.353296809975;0.0
2023-11-25 08:00:00;290.9272178583623;183128.61019359806;0.0;0.0;714208.709755119;0.0;933739.3331888294;393908.206462543;50422.73551450416;0.0
2023-11-25 09:00:00;283.80554867274066;181168.27028314152;0.0;0.0;679498.1150563527;0.0;922903.6555874364;393908.206462543;50444.72069591598;0.0
2023-11-25 10:00:00;272.6485041869729;178784.38402524096;0.0;0.0;633098.1961907854;0.0;895436.4816786321;393908.206462543;50453.51476848071;0.0
2023-11-25 11:00:00;265.40758453153273;188500.50709271;0.0;0.0;585075.2995455248;0.0;862110.8761092057;393908.206462543;50449.11773219834;0.0
2023-11-25 12:00:00;249.15777391081804;181198.19589483453;0.0;0.0;534014.0817157779;0.0;818815.2352933567;393908.206462543;50453.51476848071;0.0
2023-11-25 13:00:00;242.01648982217773;179728.89069826415;0.0;0.0;505351.2616946381;0.0;796149.80112147;393908.206462543;50466.7058773278;0.0
2023-11-25 14:00:00;237.96265540221765;179059.42339507304;0.0;0.0;497432.03407772625;0.0;774293.7801695871;393908.206462543;50453.51476848071;0.0
2023-11-25 15:00:00;237.18065902136337;178681.90861677896;0.0;0.0;504943.1995353347;0.0;758631.9788092311;393908.206462543;50462.30884104544;0.0
2023-11-25 16:00:00;239.59109298648534;179698.24915311468;0.0;0.0;524537.3334800963;0.0;753514.5952458251;393908.206462543;50457.91180476307;0.0
2023-11-25 17:00:00;242.11653109611586;181019.6110032387;0.0;0.0;543647.4212620674;0.0;753265.5592094326;393908.206462543;50457.91180476307;0.0
2023-11-25 18:00:00;235.78836697022479;175096.44226525267;0.0;0.0;568112.9312208055;0.0;759016.517824548;393908.206462543;4990.636180482987;0.0
2023-11-25 19:00:00;242.47829937902577;176232.02660082022;0.0;0.0;585715.0771064602;0.0;779175.2275560986;393908.206462543;4981.842107918259;0.0
