,Gas consumption [Nm3],Electric consumption [Wh],Oil consumption [L],Wood consumption [kg]
2023-02-12 03:00:00,4586.772027584591,1038904.715591912,227.28498498085293,0.0
2023-02-12 04:00:00,4636.736936289741,1043572.0344460147,229.98204746914877,0.0
2023-02-12 05:00:00,4686.4975916274125,1048254.0287186209,232.69451244907825,0.0
2023-02-12 06:00:00,4761.735739472191,1150338.1620554656,236.43159029350105,0.0
2023-02-12 07:00:00,4718.355484749667,1273711.2897851407,234.49390198301603,0.0
2023-02-12 08:00:00,4574.74938161358,1259728.5450911068,227.28718461037496,0.0
2023-02-12 09:00:00,4395.10994260593,1115174.6546875131,218.1261456724639,0.0
2023-02-12 10:00:00,4209.66746098332,1034078.6191181262,208.53086397330063,0.0
2023-02-12 11:00:00,4016.2474459941686,1080082.81924006,198.4726275532971,0.0
2023-02-12 12:00:00,3847.084410501232,1064920.2373114747,189.6147260662881,0.0
2023-02-12 13:00:00,3754.04509132027,1056283.7737532365,184.68743291316613,0.0
2023-02-12 14:00:00,3715.140555011523,1052313.3506795208,182.54698689048766,0.0
2023-02-12 15:00:00,3741.6482798157704,991017.3740034518,183.62311933623005,0.0
2023-02-12 16:00:00,3822.1494244553287,1094294.298194753,187.4797381062461,0.0
2023-02-12 17:00:00,3941.0262375412017,1233017.1082758293,193.36944115491326,0.0
2023-02-12 18:00:00,4062.750707122022,1244856.6019508156,199.88424661499857,0.0
2023-02-12 19:00:00,4116.385602080219,1313557.6324874272,202.70745646290285,0.0
2023-02-12 20:00:00,4178.503418687606,1319415.5617553382,205.96020303351943,0.0
2023-02-12 21:00:00,4234.444412140796,1324678.3926243556,208.89560226206703,0.0
2023-02-12 22:00:00,4279.706089770849,1169834.3532780982,211.26585550365766,0.0
2023-02-12 23:00:00,4303.550881517439,1172104.4035904214,212.58096074782787,0.0
2023-02-13 00:00:00,4329.4926769879785,1015410.0472455355,213.93934971527102,0.0
2023-02-13 01:00:00,4334.6382091695195,1015984.5576765408,214.33739428137994,0.0
2023-02-13 02:00:00,4330.107459608943,1015640.1380523739,214.22635625505328,0.0
2023-02-13 03:00:00,4305.419626127836,1013507.121431907,213.1392956415609,0.0
2023-02-13 04:00:00,4315.639227362415,1014418.8242690711,213.68634759483552,0.0
2023-02-13 05:00:00,4334.925796742487,1016107.4554540676,214.64796853601445,0.0
2023-02-13 06:00:00,4380.010169221457,1115186.7123055912,216.61891721730018,0.0
2023-02-13 07:00:00,4367.604470055335,1241245.218153116,216.02961322719938,0.0
2023-02-13 08:00:00,4281.468175877099,1232281.1369622569,211.4820863221532,0.0
2023-02-13 09:00:00,4190.735764866993,1095702.47987775,206.59957759987321,0.0
2023-02-13 10:00:00,4062.636106268709,1019812.624948457,199.78553168707123,0.0
